sample_index,reconstruction_error,error_above_threshold,severity_score,timestamp,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11
1020,0.1794330343710645,0.049420118709769034,0.38011699421091655,2024-10-31 12:34:04.360,0.32,0.29,0.24,0,7899028,10090360,10283504,600356886,17518596,1665392,2024-10-31 12:26:04.860
971,0.17913365655754196,0.04912074089624649,0.3778143167269159,2024-10-31 11:49:04.570,0.35,0.21,0.16,0,7898536,10089956,10283112,599473643,17428890,1644253,2024-10-31 11:37:59.880
1076,0.17888019397858845,0.048867278317292984,0.3758647982681974,2024-10-31 13:29:04.593,0.33,0.28,0.38,0,7900200,10090424,10285684,600701971,17555466,1677761,2024-10-31 13:20:04.597
1030,0.17878120900730668,0.04876829334601121,0.3751034510529742,2024-10-31 12:43:04.650,0.34,0.24,0.23,0,7907908,10090360,10286180,600407754,17522007,1666555,2024-10-31 12:34:04.613
1007,0.17864223125405676,0.04862931559276129,0.37403449761444063,2024-10-31 12:23:04.810,0.29,0.25,0.23,0,7898572,10090356,10284696,600282759,17511815,1663814,2024-10-31 12:14:04.590
1096,0.1785643554219812,0.04855143976068574,0.3734355122622589,2024-10-31 13:51:36.710,0.31,0.3,0.32,0,7898844,10090580,10286000,600836015,17570678,1680186,2024-10-31 13:40:03.680
1008,0.17850626778348727,0.0484933521221918,0.372988728662349,2024-10-31 12:24:05.047,0.31,0.27,0.24,0,7899564,10090356,10284736,600288306,17512271,1663938,2024-10-31 12:15:04.543
1612,0.17803719662384432,0.04802428096254885,0.36938084742026567,2024-11-04 15:28:13.897,0.32,0.75,0.57,0,7914020,10092516,10308840,632893415,18482540,1744292,2024-11-04 15:19:13.853
1097,0.17784329685469732,0.047830381193401855,0.36788945890581887,2024-10-31 13:52:36.483,0.19,0.26,0.3,0,7900176,10090580,10286004,600842320,17571558,1680312,2024-10-31 13:41:04.627
1006,0.17772711969256444,0.04771420403126897,0.36699587720632415,2024-10-31 12:22:04.623,0.31,0.25,0.23,0,7899884,10090356,10284700,600276014,17511337,1663702,2024-10-31 12:13:04.610
1119,0.17762052348426635,0.04760760782297088,0.3661759878302887,2024-10-31 14:14:36.517,0.11,0.14,0.2,0,7899060,10090604,10286564,600995724,17591353,1682972,2024-10-31 14:05:36.483
